ID,Institucion,Programa,Nivel,Semestre,Anio,GPA,GRE_Verbal,GRE_Cuantitativo,GRE_Escritura,Admision
35,Cornell University,Operations Research And Information Engineering (ORIE),Doctorado,Otono,2018,3.7,162,170,3.5,Admitido
36,George Mason University,Applied Math (Operations Research),Maestria,Otono,2018,3.96,159,159,3.5,Admitido
37,Georgia Insititute Of Technology (Georgia Tech GaTech),Operations Research,Maestria,Otono,2018,3.3,153,159,4.0,Admitido
38,Massachusett Institute Of Technology (MIT),"IEOR, Operations Research",Doctorado,Otono,2018,3.97,167,168,4.0,Rechazado
39,Massachusetts Institute Of Technology (MIT),Operations Research,Doctorado,Otono,2018,3.94,164,164,5.0,Admitido
40,Massachusetts Institute Of Technology (MIT),Operations Research,Doctorado,Otono,2018,3.92,160,169,6.0,Rechazado
41,Princeton University,Operations Research & Financial Engineering (ORFE),Doctorado,Otono,2018,3.96,154,170,3.5,Admitido
42,Princeton University,Operations Research And Financial Engineering,Doctorado,Otono,2018,3.94,164,164,5.0,Rechazado
43,The University Of California Berkeley (UCB),Industrial Engineering And Operations Research (IEOR),Maestria,Otono,2018,3.93,157,170,4.0,Admitido
44,The University Of North Carolina Chapel Hill,Operations Research,Doctorado,Otono,2018,3.9,164,164,5.0,Admitido
45,University Of North Carolina Chapel Hill (UNC),Statistics And Operations Research,Doctorado,Otono,2018,3.4,159,160,4.5,Rechazado
46,University Of Texas At Austin,Operations Research And Financial Engineeering,Doctorado,Otono,2017,3.8,149,170,3.5,Admitido
47,"Carnegie  Mellon University, Tepper School Of Business",Business (Operations Research),Doctorado,Otono,2017,3.78,165,148,3.5,Rechazado
48,Columbia  University (Fu Foundation),Industrial Engineering And Operations Research (IEOR),Doctorado,Otono,2017,4.0,157,168,3.5,Admitido
49,Columbia  University (Fu Foundation),Industrial Engineering And Operations Research,Maestria,Otono,2017,3.72,152,170,4.0,Rechazado
50,Columbia University (Fu Foundation School Of Engineering),Industrial Engineering And Operations Research,Doctorado,Otono,2017,3.8,162,170,5.0,Admitido
51,Columbia University (Fu Foundation),Industrial Engineering & Operations Research (IEOR),Maestria,Otono,2017,3.8,149,170,3.5,Admitido
52,Cornell Univerisity,Operations Research And Information Engineering (ORIE),Doctorado,Otono,2017,4.0,160,170,4.5,Admitido
53,Georgia  Institute Of Technology (Gatech Georgia Tech),Industrial & Systems Engineering (Operations Research),Doctorado,Otono,2017,4.0,170,160,4.5,Admitido
54,Georgia  Institute Of Technology (Gatech/Georgia Tech),Industrial & Systems Engineering (Operations Research),Doctorado,Otono,2017,3.9,152,170,3.5,Rechazado
55,Masachucettes Institute Of Technology,Operations Research,Maestria,Otono,2017,3.5,154,159,4.0,Rechazado
56,Massaaachusett Institute Of Technology (MIT),Operations Research,Maestria,Otono,2017,3.9,168,170,5.0,Admitido
57,Massachusett Institute Of Technology (MIT),Operations Research (ORC),Doctorado,Otono,2017,4.0,157,168,3.5,Admitido
58,Massachusettes Institute Of Technology (MIT),Operations Research ORC,Doctorado,Otono,2017,3.8,149,170,3.5,Rechazado
59,Massachusetts Institute Of Technology (MIT),Operations Research Center (ORC),Doctorado,Otono,2017,3.28,165,168,3.0,Rechazado
60,Massachusetts Institute Of Technology (MIT),Operations Research,Doctorado,Otono,2017,4.0,153,168,3.5,Rechazado
61,NC State (North Carolina State),Operations Research,Maestria,Otono,2017,3.58,155,164,3.0,Admitido
62,NCSU North Carolina State University,Applied Math (Operations Research),Maestria,Otono,2017,3.5,153,170,4.5,Admitido
63,North Carolina State University (NC State),Industrial Engineering & Operations Research (IEOR),Maestria,Otono,2017,3.48,159,163,5.0,Admitido
64,Princeton ORFE,ORFE (Operations Research),Doctorado,Otono,2017,3.99,170,170,6.0,Rechazado
65,Princeton Univerisity,Operations Research And Financial Engineering (ORFE),Doctorado,Otono,2017,3.78,165,148,3.5,Rechazado
66,Princeton Univerisity,Operations Research And Financial Engineeering (ORFE),Doctorado,Otono,2017,3.8,149,170,3.5,Rechazado
67,Princeton University,Operations Research And Financial Engineeering (ORFE),Doctorado,Otono,2017,3.94,163,167,4.0,Rechazado
68,Princeton University,Operations Research And Financial Engineering (ORFE),Doctorado,Otono,2017,3.78,165,148,3.5,Rechazado
69,"Princeton, ORFE",Operations Research And Financial Engineering,Doctorado,Otono,2017,3.84,150,170,4.0,Admitido
70,Rochester (Simon School Of Business),Business (Operations Research),Doctorado,Primavera,2017,3.2,164,168,4.0,Admitido
71,Rutgers State University Of New Jersey,Business (Operations Research),Doctorado,Otono,2017,3.0,150,166,3.0,Rechazado
72,The University Of North Carolina - Chapel Hill (UNC),"Interdisciplinary Statistics & Operations Research, PhD",Doctorado,Otono,2017,3.96,170,163,5.0,Admitido
73,The University Of North Carolina - Chapel Hill (UNC),Interdisciplinary Statistics & Operations Research,Doctorado,Otono,2017,3.53,160,170,4.0,Admitido
74,Tilburg (CentER),Operations Research,Maestria,Otono,2017,3.82,143,167,3.5,Admitido
75,UC Berkeley,Industrial Engineering & Operations Research (IEOR),Maestria,Otono,2017,3.99,154,170,3.5,Admitido
76,UC Berkeley,Master Of Engineering In Industrial Engineering & Operations Research,Maestria,Otono,2017,3.7,149,167,3.5,Admitido
77,UC Berkeley,Industrial Engineering & Operations Research,Maestria,Otono,2017,3.83,143,167,3.5,Rechazado
78,University Of North Carolina (UNC) Chapel Hill,Interdisciplinary Statistics And Operations Research (INSTORE),Doctorado,Otono,2017,3.2,164,170,5.0,Rechazado
79,"University Of Michigan, Ann Arbor",Industrial Engineering & Operations Research,Doctorado,Otono,2016,3.83,154,170,4.0,Rechazado
80,University Of Texas At Austin,Operations Research And Industrial Engineering,Maestria,Otono,2016,3.4,150,170,3.0,Admitido
81,University Of Texas At Austin,Operations Research And Industrial Engineering (ORIE),Maestria,Otono,2016,3.7,160,170,4.0,Admitido
82,University Of Texas At Austin,Operations Research & Industrial Engineering (ORIE),Maestria,Otono,2016,3.4,155,165,4.0,Rechazado
83,Carnegie  Mellon University (CMU),Business (Operations Research),Doctorado,Otono,2016,3.76,155,163,3.5,Admitido
84,Carnegie Mellon (CMU),Operations Research,Doctorado,Otono,2016,3.68,160,170,4.5,Admitido
85,Clemson University,Industrial Engineering & Operations Research (IEOR),Doctorado,Otono,2016,3.83,154,170,4.0,Admitido
86,Columbia  University (Fu Foundation),Industrial Engineering And Operations Research (IEOR),Maestria,Otono,2016,3.7,160,170,4.0,Admitido
87,Columbia University,Industrial Engineering And Operations Research,Doctorado,Otono,2016,3.68,159,170,4.5,Admitido
88,Columbia University,Industrial Engineering And Operations Research (IEOR),Doctorado,Otono,2016,3.96,164,170,4.0,Admitido
89,Columbia University (Fu Foundation School Of Engineering),"IEOR, Operations Research",Maestria,Otono,2016,3.75,156,167,4.5,Admitido
90,Cornell,Industerial Engineering & Operations Research,Doctorado,Otono,2016,3.92,161,167,4.5,Admitido
91,Cornell,Operations Research & Information Engineering,Doctorado,Otono,2016,4.0,160,168,5.5,Admitido
92,Cornell,Industerial Engineering & Operations Research,Doctorado,Otono,2016,3.5,160,170,5.0,Rechazado
93,Cornell,Operations Research,Maestria,Otono,2016,3.27,161,164,4.5,Admitido
94,Cornell,Industerial Engineering & Operations Research,Maestria,Otono,2016,3.83,154,170,4.0,Admitido
95,Cornell Engineering,Operations Research And Financial Engineeering ORIE,Maestria,Otono,2016,3.37,159,168,3.5,Admitido
96,Cornell University,Operations Research And Industrial Engineering (ORIE),Doctorado,Otono,2016,3.96,164,170,4.0,Admitido
97,Cornell University,Operations Research And Information Engineering (ORIE),Doctorado,Otono,2016,3.68,159,170,4.5,Rechazado
98,Cornell University (Ithaca),Operations Research And Information Engineering (ORIE),Maestria,Otono,2016,4.0,168,150,4.0,Admitido
99,Georgia  Institute Of Technology,Operations Research,Maestria,Otono,2016,4.0,151,170,4.0,Admitido
100,Georgia Tech,Operations Research,Doctorado,Otono,2016,3.58,159,170,4.0,Admitido
101,Georgia Tech,Operations Research,Doctorado,Otono,2016,3.25,158,167,3.5,Rechazado
102,Georgia Tech,Operations Research,Maestria,Otono,2016,3.7,160,170,5.0,Admitido
103,JHU (Johns Hopkins),Applied Math (Operations Research),Doctorado,Otono,2016,3.83,154,170,4.0,Rechazado
104,MIT,Operations Research,Doctorado,Otono,2016,3.94,169,169,4.5,Admitido
105,MIT,Operations Research,Doctorado,Otono,2016,3.75,170,168,6.0,Rechazado
106,MIT,Operations Research,Doctorado,Otono,2016,3.98,160,162,5.0,Rechazado
107,MIT,Operations Research,Doctorado,Otono,2016,3.92,150,170,3.5,Rechazado
108,MIT ORC,Operations Research,Maestria,Otono,2016,4.03,166,164,5.5,Admitido
109,Massachusetts Institute Of Technology (MIT),Operations Research Center (ORC),Doctorado,Otono,2016,4.0,170,170,4.5,Admitido
110,Massachusetts Institute Of Technology (MIT),Operations Research Center (ORC),Doctorado,Otono,2016,3.74,161,167,5.0,Rechazado
111,Massachusetts Institute Of Technology (MIT),Operations Research,Maestria,Otono,2016,3.5,153,169,4.0,Rechazado
112,NCSU North Carolina State University,"IEOR, Operations Research",Maestria,Primavera,2016,3.08,164,170,4.0,Admitido
113,North Calorina State University(NCSU),"IEOR, Operations Research",Doctorado,Otono,2016,3.83,154,170,4.0,Admitido
114,North Carolina  State University,Operations Research,Doctorado,Otono,2016,3.7,165,163,4.5,Admitido
115,Northeastern University (NEU),"IEOR, Operations Research",Maestria,Primavera,2016,2.64,151,170,2.0,Admitido
116,Northeastern University (NEU),"IEOR, Operations Research",Maestria,Primavera,2016,2.64,170,151,2.0,Admitido
117,Princeton University,Operations Research & Financial Engineering (ORFE),Doctorado,Otono,2016,3.75,161,168,5.0,Rechazado
118,Rensselaer Polytechnic Institute (RPI),Operations Research And Mathematical Programming,Maestria,Otono,2016,3.93,141,167,3.0,Rechazado
119,The University Of North Carolina - Chapel Hil,Interdisciplinary Statistics And Operations Research (INSTORE),Doctorado,Otono,2016,4.0,160,169,5.0,Admitido
120,UC Berkeley,Industrial Engineering And Operations Research IEOR,Maestria,Otono,2016,3.76,151,170,3.0,Rechazado
121,University Of Massachussets Amherst,Industrial Engineering And Operations Research,Doctorado,Otono,2016,3.7,160,170,4.0,Admitido
122,University Of North Carolina,INSTORE- Statistics And Operations Research,Doctorado,Otono,2016,3.98,159,166,4.0,Admitido
123,Virginia Tech,Industrial Engineering & Operations Research (IEOR),Maestria,Otono,2016,3.7,144,166,3.0,Admitido
124,Carnegie Mellon University Tepper,Operations Research,Doctorado,Otono,2015,3.8,153,164,3.5,Admitido
125,Columbia,Industrial Engineering And Operations Research (IEOR),Doctorado,Otono,2015,3.67,160,166,4.5,Rechazado
126,Columbia University,Industrial Engineering And Operations Research (IEOR),Doctorado,Otono,2015,3.7,162,170,3.5,Admitido
127,Columbia University,Industrial Engineering And Operations Research (IEOR),Doctorado,Otono,2015,3.8,170,152,3.0,Admitido
128,Columbia University,Industrial Engineering & Operations Research,Doctorado,Otono,2015,4.0,170,157,3.0,Admitido
129,Columbia University,Industrial Engineering And Operations Research (IEOR),Doctorado,Otono,2015,3.92,164,170,4.0,Admitido
130,Columbia University,Industrial Engineering And Operations Research (IEOR),Doctorado,Otono,2015,3.83,164,170,5.0,Admitido
131,Columbia University,Industrial Engineering And Operations Research (IEOR),Doctorado,Otono,2015,3.68,164,167,5.0,Admitido
132,Columbia University,Industrial Engineering And Operations Research,Doctorado,Otono,2015,3.71,152,163,3.5,Rechazado
133,Columbia University,Industrial Engineering And Operations Research,Doctorado,Otono,2015,3.94,159,167,4.0,Rechazado
134,Columbia University,Industrial Engineering And Operations Research (IEOR),Maestria,Otono,2015,3.67,160,166,4.5,Admitido
135,Columbia University,Operations Research,Maestria,Otono,2015,3.98,167,162,5.0,Admitido
136,Columbia University,Operations Research (MSOR),Maestria,Primavera,2015,3.78,154,159,3.0,Rechazado
137,Columbia University SEAS,Industrial Engineering And Operations Research (IEOR),Doctorado,Otono,2015,3.93,159,170,5.0,Rechazado
138,Cornell University,Operations Research And Information Engineering (ORIE),Doctorado,Otono,2015,3.2,140,167,3.0,Rechazado
139,Cornell University,Operations Research And Information Engineering,Maestria,Otono,2015,3.8,164,167,4.5,Admitido
140,Georgia Institute Of Technology,Operations Research,Doctorado,Otono,2015,3.83,164,170,5.0,Admitido
141,Georgia Institute Of Technology,Operations Research,Doctorado,Otono,2015,3.85,167,169,4.5,Admitido
142,Georgia Institute Of Technology,Operations Research,Doctorado,Otono,2015,3.2,168,158,4.5,Rechazado
143,Georgia Institute Of Technology,Operations Research,Doctorado,Otono,2015,3.2,140,167,3.0,Rechazado
144,Georgia Institute Of Technology,Industrial Engineering And Operations Research,Maestria,Otono,2015,3.98,167,162,5.0,Admitido
145,Georgia Institute Of Technology,Operations Research (ISyE),Maestria,Otono,2015,3.89,151,170,3.5,Admitido
146,Georgia Tech,Operations Research,Doctorado,Otono,2015,3.84,155,163,4.5,Rechazado
147,MIT,Operations Research Center (ORC),Doctorado,Otono,2015,3.98,154,170,4.0,Admitido
148,MIT,Operations Research,Doctorado,Otono,2015,3.68,159,170,4.5,Rechazado
149,MIT,Operations Research (ORC),Doctorado,Otono,2015,3.93,164,170,4.0,Rechazado
150,MIT,Operations Research,Doctorado,Otono,2015,3.6,160,169,4.0,Rechazado
151,MIT,Operations Research Center (ORC),Doctorado,Otono,2015,3.67,160,166,4.5,Rechazado
152,MIT,Operations Research Center (ORC),Doctorado,Otono,2015,3.99,160,170,4.0,Rechazado
153,MIT,Operations Research,Maestria,Otono,2015,3.78,162,167,4.0,Rechazado
154,Massachusetts Institute Of Technology (MIT),Operations Research Center (ORC),Doctorado,Otono,2015,3.58,154,164,3.5,Rechazado
155,North Carolina State University,Operations Research,Doctorado,Otono,2015,3.76,149,168,4.0,Admitido
156,North Carolina State University,Operations Research,Doctorado,Otono,2015,3.76,149,168,4.0,Admitido
157,North Carolina State University (NCSU),Operations Research,Doctorado,Otono,2015,3.2,140,167,3.0,Admitido
158,Princeton,Operations Research And Financial Engineeering,Doctorado,Otono,2015,4.0,170,166,5.0,Admitido
159,Princeton,Operations Research And Financial Engineering,Doctorado,Otono,2015,3.94,164,170,5.0,Admitido
160,Princeton,Operations Research And Financial Engineering (ORFE),Doctorado,Otono,2015,3.93,164,170,4.0,Rechazado
161,Princeton,Operations Research And Financial Engineering,Doctorado,Otono,2015,3.86,159,170,4.5,Rechazado
162,Princeton University,Operations Research And Financial Engineering,Doctorado,Otono,2015,3.2,170,165,6.0,Admitido
163,Princeton University,Operations Research And Financial Engineering (ORFE),Doctorado,Otono,2015,3.99,160,170,4.0,Admitido
164,Princeton University,Operations Research & Financial Engineering,Doctorado,Otono,2015,3.54,155,163,3.0,Rechazado
165,Rutgers Business School,Operations Research,Doctorado,Otono,2015,3.2,140,167,3.0,Admitido
166,"Sauder School Of Business, UBC",Management In Operations Research (MMOR),Maestria,Otono,2015,3.0,162,165,4.0,Admitido
167,Southern Methodist University,Operations Research,Doctorado,Otono,2015,3.3,146,162,3.0,Admitido
168,UC Berkeley,Industrial Engineering And Operations Research (IEOR),Doctorado,Otono,2015,3.93,164,170,4.0,Admitido
169,UC Berkeley,Industrial Engineering & Operations Research (IEOR),Doctorado,Otono,2015,3.99,170,160,4.0,Admitido
170,UC Berkeley,"Industrial Engineering & Operations Research, MS",Maestria,Otono,2015,3.96,154,162,4.5,Admitido
171,UC Berkeley,Industrial Engineering & Operations Research,Maestria,Otono,2015,4.0,162,166,4.5,Admitido
172,UC Berkeley,Industrial Engineering And Operations Research,Maestria,Otono,2015,3.1,153,166,4.0,Rechazado
173,UC Berkeley IEOR,Operations Research,Doctorado,Otono,2015,3.84,155,163,4.5,Rechazado
174,Umass Amherst,Industrial Engineering And Operations Research,Doctorado,Otono,2015,3.76,147,164,3.0,Rechazado
175,University Of California - Berkeley,Industrial Engineering And Operations Research (IEOR),Doctorado,Otono,2015,3.2,159,162,3.5,Rechazado
176,University Of California Berkeley,Industrial Engineering And Operations Research (IEOR),Doctorado,Otono,2015,3.2,140,167,3.0,Rechazado
177,University Of California Berkeley,Industrial Engineering And Operations Research,Maestria,Otono,2015,4.0,157,165,3.5,Admitido
178,"University Of California, Berkeley",Industrial Engineering And Operations Research,Maestria,Otono,2015,3.98,167,162,5.0,Admitido
179,"University Of California, Berkeley",Industrial Engineering And Operations Research,Maestria,Otono,2015,3.1,155,170,4.5,Admitido
180,"University Of California, Berkeley (UCB)",Industrial Engineering & Operations Research (IEOR),Maestria,Otono,2015,3.9,157,170,3.5,Admitido
181,University Of North Carolina At Chapel Hill,Statistics And Operations Research,Doctorado,Otono,2015,3.83,163,168,4.0,Admitido
182,University Of Texas At Austin,Operations Research And Industrial Engineering,Doctorado,Otono,2015,3.8,152,167,3.0,Admitido
183,Carnegie Mellon University (CMU),Operations Research (OR),Doctorado,Otono,2014,3.9,159,170,4.0,Rechazado
184,Columbia,Industrial Engineering And Operations Research (IEOR),Doctorado,Otono,2014,3.9,167,166,4.0,Admitido
185,Columbia,Industrial Engineering And Operations Research (IEOR),Doctorado,Otono,2014,3.9,162,170,3.0,Admitido
186,Columbia,Industrial Engineering And Operations Research (IEOR),Doctorado,Otono,2014,3.8,163,170,5.5,Rechazado
187,Columbia University,Industrial Engineering And Operations Research (IEOR),Doctorado,Otono,2014,3.9,159,170,4.0,Admitido
188,Columbia University,Industrial Engineering And Operations Research,Doctorado,Otono,2014,3.84,162,169,3.5,Admitido
189,Columbia University,Industrial Engineering And Operations Research,Doctorado,Otono,2014,3.8,170,164,3.0,Admitido
190,Columbia University,Industrial Engineering & Operations Research (IEOR),Doctorado,Otono,2014,3.63,165,161,4.5,Rechazado
191,Columbia University,Operations Research,Doctorado,Otono,2014,3.98,160,162,5.0,Rechazado
192,Columbia University,Operations Research,Maestria,Otono,2014,3.98,160,162,5.0,Admitido
193,Cornell,Operations Research And Information Engineering (ORIE),Doctorado,Otono,2014,3.84,162,169,3.5,Admitido
194,Cornell,Operations Research And Information Engineering (ORIE),Doctorado,Otono,2014,3.97,154,168,5.0,Rechazado
195,Cornell University,Operations Research And Information Engineering (ORIE),Doctorado,Otono,2014,3.9,159,170,4.0,Admitido
196,Cornell University,Operations Research And Information Engineering,Maestria,Otono,2014,3.7,161,167,4.5,Admitido
197,Georgia Institute Of Technology,Operations Research,Doctorado,Otono,2014,3.63,161,165,4.5,Admitido
198,Georgia Institute Of Technology,Operations Research,Maestria,Otono,2014,3.98,160,162,5.0,Admitido
199,Georgia Institute Of Technology (GA Tech),Industrial Engineering/Operations Research,Doctorado,Otono,2014,3.0,161,163,5.0,Admitido
200,Georgia Tech,Operations Research,Maestria,Otono,2014,3.3,152,169,4.5,Rechazado
201,Georgia Tech,Operations Research,Maestria,Otono,2014,3.2,157,164,3.5,Rechazado
202,Massachusetts Institute Of Technology (MIT),Operations Research Center (ORC),Doctorado,Otono,2014,3.9,159,170,4.0,Admitido
203,Massachusetts Institute Of Technology (MIT),Operations Research Center (ORC),Doctorado,Otono,2014,3.72,164,170,4.0,Rechazado
204,Massachusetts Institute Of Technology (MIT),Operations Research,Maestria,Otono,2014,3.98,160,162,5.0,Rechazado
205,Miami University Of Ohio,Mathematics (Operations Research),Maestria,Otono,2014,3.5,165,156,3.0,Admitido
206,NC State Uni,Operations Research,Doctorado,Otono,2014,3.6,141,169,2.5,Admitido
207,North Carolina State,Operations Research,Doctorado,Otono,2014,3.97,154,168,5.0,Admitido
208,Princeton,Operations Research And Financial Engineering,Doctorado,Otono,2014,3.65,164,168,5.0,Rechazado
209,Princeton University,Operations Research Financial Engineering (ORFE),Doctorado,Otono,2014,3.85,168,167,5.5,Admitido
210,Princeton University,Operations Research And Financial Engineering,Doctorado,Otono,2014,3.9,165,168,5.5,Rechazado
211,Princeton University,Operations Research & Financial Engineering,Doctorado,Otono,2014,3.55,168,162,3.0,Rechazado
212,Princeton University,Operations Research And Financial Engineering,Maestria,Otono,2014,3.33,156,167,4.0,Rechazado
213,Stony Brook,Applied Math (Operations Research),Doctorado,Otono,2014,3.7,154,164,3.5,Admitido
214,UC Berkeley,Industrial Engineering And Operations Research,Maestria,Otono,2014,3.88,168,164,4.0,Admitido
215,UC Berkeley,Industrial Engineering And Operations Research (IEOR),Maestria,Otono,2014,3.9,155,170,4.0,Admitido
216,UC Berkeley,Industrial Engineering And Operations Research,Maestria,Otono,2014,3.97,159,168,4.0,Admitido
217,UT Austin,Operations Research And Industrial Engineering,Doctorado,Otono,2014,3.3,164,169,4.0,Admitido
218,University Of British Columbia,Operations Research,Maestria,Otono,2014,3.33,156,167,4.0,Admitido
219,"University Of California, Berkeley",Industrial Engineering & Operations Research (IEOR),Doctorado,Otono,2014,4.0,163,170,4.0,Rechazado
220,"University Of California, Berkeley",Industrial Engineering & Operations Research (IEOR),Doctorado,Otono,2014,3.63,161,165,4.5,Rechazado
221,"University Of California, Berkeley",Industrial Engineering & Operations Research,Doctorado,Otono,2014,3.84,162,169,3.5,Rechazado
222,University Of Michigan Ann-Arbor,Industrial Engineering And Operations Research,Doctorado,Otono,2014,3.65,164,169,5.5,Admitido
223,University Of Southern California,Operations Research Engineering,Maestria,Otono,2014,3.98,160,162,5.0,Admitido
224,University Of Texas At Austin (UT Austin),Operations Research And Industrial Engineering (ORIE),Doctorado,Otono,2014,3.63,161,165,4.5,Rechazado
225,University Of Toronto,Operations Research,Doctorado,Otono,2014,3.0,161,163,5.0,Admitido
226,Virginia Tech,Industrial & Systems Engineering (Operations Research),Maestria,Otono,2014,3.98,160,162,5.0,Admitido
227,Berkeley,Industrial Engineering & Operations Research,Doctorado,Otono,2013,4.0,163,167,3.0,Rechazado
228,Columbia University,Industrial Engineering And Operations Research,Doctorado,Otono,2013,3.65,164,169,5.5,Rechazado
229,Columbia University,Industrial Engineering And Operations Research (IEOR),Doctorado,Otono,2013,3.98,152,170,3.5,Rechazado
230,Columbia University,Operations Research,Maestria,Otono,2013,3.95,162,168,3.0,Admitido
231,Columbia University,Operations Research,Maestria,Otono,2013,3.6,166,170,5.0,Admitido
232,Columbia University,Operations Research,Maestria,Otono,2013,3.95,162,166,4.0,Admitido
233,Cornell,Operations Research And Information Engineering,Maestria,Otono,2013,3.7,155,165,4.5,Admitido
234,Cornell University,Operations Research,Doctorado,Otono,2013,3.6,168,169,5.0,Admitido
235,Cornell University,Operations Research,Doctorado,Otono,2013,4.0,164,170,5.5,Admitido
236,Cornell University,Operations Research And Information Engineering,Maestria,Otono,2013,3.95,162,168,3.0,Admitido
237,Cornell University,Operations Research And Information Engineering,Maestria,Otono,2013,3.32,143,162,3.0,Rechazado
238,George Mason University,Operations Research And Systems Engineering,Doctorado,Otono,2013,3.5,139,169,3.0,Rechazado
239,Georgia Institute Of Technology,Operations Research,Doctorado,Otono,2013,3.66,167,169,5.0,Admitido
240,Georgia Institute Of Technology,Operations Research,Maestria,Otono,2013,3.91,155,167,3.5,Admitido
241,MIT,Operations Research Center,Maestria,Otono,2013,3.72,149,161,3.5,Rechazado
242,Massachusetts Institute Of Technology (MIT),Operations Research (ORC),Doctorado,Otono,2013,3.8,164,169,5.5,Rechazado
243,Massachusetts Institute Of Technology (MIT),Operations Research Center,Doctorado,Otono,2013,3.9,170,167,4.0,Rechazado
244,Massachusetts Institute Of Technology (MIT),Operations Research,Maestria,Otono,2013,3.95,162,168,3.0,Rechazado
245,North Carolina State University,Operations Research,Doctorado,Otono,2013,3.55,167,168,4.5,Admitido
246,Princeton,Operations Research And Financial Engineering,Doctorado,Otono,2013,3.81,170,170,4.0,Admitido
247,Tepper School Of Business CMU,Operations Research,Doctorado,Otono,2013,3.8,166,166,4.5,Rechazado
248,UC Berkeley,Industrial Engineering And Operations Research,Doctorado,Otono,2013,3.93,162,170,4.0,Admitido
